_Ad_Date,_Ad_Title,_Ad_Type,_Age_Specified,_CATEGORY_--_Age_Specified,County,_Gender_Specified,_Number_of_People,_Press_Date,_Sale_Disposition,_Sale_Location_Locale,_Sale_Location_State,_Skills_Specified,_First_Name,_Term_of_service,_Trade_reason,_Features,_Terms_of_Sale,Source,Source_Page,Subscriber_County,Subscriber_Firstname,Subscriber_Lastname,_Role,_owner,_Application_Locale
"December 25, 1824",Sheriff's Sale,Sale,,,Dorchester,male,5,18241225,public sale,"residence of Thomas Stanton, North West Fork",Maryland,,Peter,,to satisfy court judgement,,,Cambridge Chronicle,1,DO,Thos. H.,Hicks,Sheriff,Thomas Stanton,
"December 25, 1824",Sheriff's Sale,Sale,,,Dorchester,,5,18241225,public sale,"residence of Thomas Stanton, North West Fork",Maryland,,,,to satisfy court judgement,,,Cambridge Chronicle,1,DO,Thos. H.,Hicks,Sheriff,Thomas Stanton,
"December 25, 1824",Sheriff's Sale,Sale,,,Dorchester,,5,18241225,public sale,"residence of Thomas Stanton, North West Fork",Maryland,,,,to satisfy court judgement,,,Cambridge Chronicle,1,DO,Thos. H.,Hicks,Sheriff,Thomas Stanton,
"February 12, 1825",Great Bargains,Sale,child,child,Dorchester,male,3,18250212,private sale,,Maryland,,,,,,,Cambridge Chronicle,3,DO,Shadrock,Keene,Subscriber,,
"February 12, 1825",Great Bargains,Sale,child,child,Dorchester,male,3,18250212,private sale,,Maryland,,,,,,,Cambridge Chronicle,3,DO,Shadrock,Keene,Subscriber,,
"February 12, 1825",Great Bargains,Sale,14,child,Dorchester,female,3,18250212,private sale,,Maryland,,,,,,,Cambridge Chronicle,3,DO,Shadrock,Keene,Subscriber,,
"February 19, 1825",Negroes for Sale,Sale,17,child,Dorchester,female,2,18250219,public / private sale,store of Lewis Ross,Maryland,,Henny,to serve 12 years,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Lewis,Ross,Subscriber,,
"February 19, 1825",Negroes for Sale,Sale,adult,adult,Dorchester,male,2,18250219,public / private sale,,Maryland,,Job,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Lewis,Ross,Subscriber,Abraham Ross,
"March 5, 1825",Sheriff's Sale,Sale,adult,adult,Dorchester,male,9,18250305,public sale,"tavern of Charles Lecompte Esq., Newmarket",Maryland,,Stephen,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Thos. A.,Hicks,Sheriff,Henry P. Waggaman,
"March 5, 1825",Sheriff's Sale,Sale,adult,adult,Dorchester,male,9,18250305,public sale,"tavern of Charles Lecompte Esq., Newmarket",Maryland,,Jeffrey,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Thos. A.,Hicks,Sheriff,Peter H. Lowber,
"March 5, 1825",Sheriff's Sale,Sale,adult,adult,Dorchester,female,9,18250305,public sale,"tavern of Charles Lecompte Esq., Newmarket",Maryland,,Comfort,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Thos. A.,Hicks,Sheriff,Peter H. Lowber,
"March 5, 1825",Sheriff's Sale,Sale,adult,adult,Dorchester,male,9,18250305,public sale,"tavern of Charles Lecompte Esq., Newmarket",Maryland,,Joe,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Thos. A.,Hicks,Sheriff,Peter H. Lowber,
"March 5, 1825",Sheriff's Sale,Sale,,,Dorchester,female,9,18250305,public sale,"Courthouse door, Cambridge",Maryland,,Linah,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Thos. A.,Hicks,Sheriff,John Merrick,
"March 5, 1825",Sheriff's Sale,Sale,,,Dorchester,female,9,18250305,public sale,"Courthouse door, Cambridge",Maryland,,Charity,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Thos. A.,Hicks,Sheriff,John Merrick,
"March 5, 1825",Sheriff's Sale,Sale,,,Dorchester,female,9,18250305,public sale,"Courthouse door, Cambridge",Maryland,,Rose,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Thos. A.,Hicks,Sheriff,John Merrick,
"March 5, 1825",Sheriff's Sale,Sale,,,Dorchester,female,9,18250305,public sale,"Courthouse door, Cambridge",Maryland,,Caroline,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Thos. A.,Hicks,Sheriff,John Merrick,
"March 5, 1825",Sheriff's Sale,Sale,,,Dorchester,female,9,18250305,public sale,"Courthouse door, Cambridge",Maryland,,Louisa,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Thos. A.,Hicks,Sheriff,John Merrick,
"March 12, 1825",Sheriff's Sale,Sale,child,child,Dorchester,male,1,18250312,public sale,residence of Zadock Cropper,Maryland,,Jim,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Thos. A.,Hicks,Sheriff,Zadock Cropper,
"March 19, 1825",Late Sheriff's Sale,Sale,child,child,Dorchester,male,5,18250319,public sale,Major George Lakes' Store,Maryland,,George,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Hambleton Johnson,
"March 19, 1825",Late Sheriff's Sale,Sale,adult,adult,Dorchester,male,5,18250319,public sale,Martin L. Wright's Store at Church Creek,Maryland,,Aaron,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Samuel Williams,
"March 19, 1825",Late Sheriff's Sale,Sale,adult,adult,Dorchester,female,5,18250319,public sale,Martin L. Wright's Store at Church Creek,Maryland,,Charity,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Samuel Williams,
"March 19, 1825",Late Sheriff's Sale,Sale,child,child,Dorchester,female,5,18250319,public sale,Martin L. Wright's Store at Church Creek,Maryland,,Martha,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Samuel Williams,
"March 19, 1825",Late Sheriff's Sale,Sale,child,child,Dorchester,male,5,18250319,public sale,Martin L. Wright's Store at Church Creek,Maryland,,Bill,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Samuel Williams,
"March 26, 1825",Negroes for Sale,Sale,20,adult,Dorchester,female,5,18250326,public sale,"store of John C. Traverse and Son, Taylor's Island",Maryland,,,,to close estate,,,Cambridge Chronicle,3,DO,Samuel K.,Robson,Administrator,Amelia Robson,
"March 26, 1825",Negroes for Sale,Sale,16 months,toddler,Dorchester,male,5,18250326,public sale,"store of John C. Traverse and Son, Taylor's Island",Maryland,,Aleck,,to close estate,,,Cambridge Chronicle,3,DO,Samuel K.,Robson,Administrator,Amelia Robson,
"March 26, 1825",Negroes for Sale,Sale,17,child,Dorchester,female,5,18250326,public sale,"store of John C. Traverse and Son, Taylor's Island",Maryland,,Kitty,,to close estate,,,Cambridge Chronicle,3,DO,Samuel K.,Robson,Administrator,Amelia Robson,
"March 26, 1825",Negroes for Sale,Sale,25,adult,Dorchester,male,5,18250326,public sale,"store of John C. Traverse and Son, Taylor's Island",Maryland,,Thomas,,to close estate,,,Cambridge Chronicle,3,DO,Samuel K.,Robson,Administrator,Amelia Robson,
"March 26, 1825",Negroes for Sale,Sale,10,child,Dorchester,male,5,18250326,public sale,"store of John C. Traverse and Son, Taylor's Island",Maryland,,Charles,,to close estate,,,Cambridge Chronicle,3,DO,Samuel K.,Robson,Administrator,Amelia Robson,
"May 7, 1825",Late Sheriff's Sale,Sale,child,child,Dorchester,male,3,18250507,public sale,"Courthouse door, Cambridge",Maryland,,Emmory,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,4,DO,Solomon,Kirwan,Late Sheriff,Benjamin Todd,
"May 7, 1825",Late Sheriff's Sale,Sale,child,child,Dorchester,male,3,18250507,public sale,"Courthouse door, Cambridge",Maryland,,James,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,4,DO,Solomon,Kirwan,Late Sheriff,Benjamin Todd,
"May 7, 1825",Late Sheriff's Sale,Sale,child,child,Dorchester,male,3,18250507,public sale,"Courthouse door, Cambridge",Maryland,,Spencer,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,4,DO,Solomon,Kirwan,Late Sheriff,Benjamin Todd,
"July 9, 1825",Sheriff's Sale,Sale,child,child,Dorchester,male,1,18250709,public sale,"Courthouse door, Cambridge",Maryland,,,to serve for life,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Tho's H.,Hicks,Sheriff,William McKenzie,
"July 9, 1825",Sheriff's Sale,Sale,child,child,Dorchester,male,1,18250709,public sale,"store of Hugh and Jno. Valliant, esqs. Crotcher's Ferry",Maryland,,Jim,to serve for life,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Tho's A.,Hicks,Sheriff,Zadock Cropper,
"July 9, 1825",Sheriff's Sale,Sale,child,child,Dorchester,male,2,18250709,public sale,"Courthouse door, Cambridge",Maryland,,,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Tho's H.,Hicks,Sheriff,William Applegarth,
"July 9, 1825",Sheriff's Sale,Sale,child,child,Dorchester,female,2,18250709,public sale,"Courthouse door, Cambridge",Maryland,,,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Tho's A.,Hicks,Sheriff,William Applegarth,
"July 16, 1825",Negroes for Sale,Sale,adult,adult,Dorchester,female,2,18250716,public sale,"Courthouse green, Cambridge",Maryland,,Henny,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Dan'l,Ross,,,
"July 16, 1825",Negroes for Sale,Sale,4 months,infant,Dorchester,,2,18250716,public sale,"Courthouse green, Cambridge",Maryland,,,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Dan'l,Ross,,,
"August 20, 1825",A Negro Woman,Sale,27,adult,Dorchester,female,1,18250820,public sale,"Courthouse green, Cambridge",Maryland,,,,,,,Cambridge Chronicle & Eastern Shore Advertiser,3,,Thomas,Disney,,,
"October 1, 1825",Sheriff's Sale,Sale,child,child,Dorchester,female,3,18251001,public sale,residence of Daniel Bell,Maryland,,Dolly,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Tho. H.,Hicks,Sheriff of Dorchester County,Nathaniel Anderson,
"October 1, 1825",Sheriff's Sale,Sale,child,child,Dorchester,male,3,18251001,public sale,residence of Daniel Bell,Maryland,,Daniel,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Tho. H.,"Hicks, Shff.",Sheriff of Dorchester County,Nathaniel Anderson,
"October 1, 1825",Sheriff's Sale,Sale,child,child,Dorchester,male,3,18251001,public sale,residence of Daniel Bell,Maryland,,Wesley,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Tho. H.,"Hicks, Shff.",Sheriff of Dorchester County,Nathaniel Anderson,
"October 1, 1825",Sheriff's Sale,Sale,adult,adult,Dorchester,female,3,18251001,public sale,residence of John Moore,Maryland,,Fan,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Tho. H.,Hick,Sheriff,John Moore,
"October 1, 1825",Sheriff's Sale,Sale,child,child,Dorchester,,3,18251001,public sale,residence of John Moore,Maryland,,,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Tho. H.,Hick,Sheriff,John Moore,
"October 1, 1825",Sheriff's Sale,Sale,child,child,Dorchester,,3,18251001,public sale,residence of John Moore,Maryland,,,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Tho. H.,Hick,Sheriff,John Moore,
"October 1, 1825",Sheriff's Sale,Sale,child,child,Dorchester,male,1,18251001,public sale,,Maryland,,Joe,to serve for life,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Tho. H.,Hicks,Sheriff,William McKenzie,
"October 1, 1825",Sheriff's Sale,Sale,adult,adult,Dorchester,male,1,18251001,public sale,"Courthouse door, Cambridge",Maryland,,Ephraim,to serve for life,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Tho. H.,Hicks,Sheriff,Noah Parks,
"October 1, 1825",Sheriff's Sale,Sale,child,child,Dorchester,male,1,18251001,public sale,"Courthouse door, Cambridge",Maryland,,Gig,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Tho. H.,Hicks,Sheriff of Dorchester County,William Applegarth,
"October 15, 1825",Public Sale,Sale,,,Dorchester,female,8,18251015,public sale,"tavern of Charles Lecompte Esq., Newmarket",Maryland,,Rachael,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Newton,Administrator,Roger Hooper,
"October 15, 1825",Public Sale,Sale,,,Dorchester,male,8,18251015,public sale,"tavern of Charles Lecompte Esq., Newmarket",Maryland,,Joseph,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Newton,Administrator,Roger Hooper,
"October 15, 1825",Public Sale,Sale,,,Dorchester,male,8,18251015,public sale,"tavern of Charles Lecompte Esq., Newmarket",Maryland,,Will,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Newton,Administrator,Roger Hooper,
"October 15, 1825",Public Sale,Sale,,,Dorchester,male,8,18251015,public sale,"tavern of Charles Lecompte Esq., Newmarket",Maryland,,John,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Newton,Administrator,Roger Hooper,
"October 15, 1825",Public Sale,Sale,,,Dorchester,female,8,18251015,public sale,"tavern of Charles Lecompte Esq., Newmarket",Maryland,,Sarah,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Newton,Administrator,Roger Hooper,
"October 15, 1825",Public Sale,Sale,,,Dorchester,female,8,18251015,public sale,"tavern of Charles Lecompte Esq., Newmarket",Maryland,,Jane,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Newton,Administrator,Roger Hooper,
"October 15, 1825",Public Sale,Sale,,,Dorchester,female,8,18251015,public sale,"tavern of Charles Lecompte Esq., Newmarket",Maryland,,Polly,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Newton,Administrator,Roger Hooper,
"October 15, 1825",Public Sale,Sale,,,Dorchester,male,8,18251015,public sale,"tavern of Charles Lecompte Esq., Newmarket",Maryland,,Ned,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Newton,Administrator,Roger Hooper,
"October 29, 1825",Notice,Sale,child,child,Dorchester,female,1,18251029,public sale,Middletown,Maryland,,Minty,,,,,Cambridge Chronicle & Eastern Shore Advertiser,3,,John,Seward,Administrator,John Seward,
"December 3, 1825",Sheriff's Sale,Sale,adult,adult,Dorchester,female,1,18251203,public sale,residence of Charles Lecompte,Maryland,,Leah,to serve for life,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Tho. H.,Hicks,Sheriff of Dorchester County,Charles Lecompte,
"December 17, 1825",Late Sheriff's Sale,Sale,child,child,Dorchester,male,3,18251217,public sale,John McKnight's Store,Maryland,,Emory,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Solomon,Kirwan,Late Sheriff,Benjamin Todd,
"December 17, 1825",Late Sheriff's Sale,Sale,child,child,Dorchester,male,3,18251217,public sale,John McKnight's Store,Maryland,,James,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Solomon,Kirwan,Late Sheriff,Benjamin Todd,
"December 17, 1825",Late Sheriff's Sale,Sale,child,child,Dorchester,male,3,18251217,public sale,John McKnight's Store,Maryland,,Spencer,,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Solomon,Kirwan,Late Sheriff,Benjamin Todd,
"December 31, 1825",Servants To Be Disposed Of,Hire,,,Dorchester,male,9,18251231,public sale,,Maryland,farmhand,,,,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,C.,Goldsborough,Subscriber,,
"December 31, 1825",Servants To Be Disposed Of,Hire,,,Dorchester,male,9,18251231,public sale,,Maryland,farmhand,,,,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,C.,Goldsborough,Subscriber,,
"December 31, 1825",Servants To Be Disposed Of,Hire,,,Dorchester,male,9,18251231,public sale,,Maryland,farmhand,,,,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,C.,Goldsborough,Subscriber,,
"December 31, 1825",Servants To Be Disposed Of,Hire,14,child,Dorchester,male,9,18251231,public sale,,Maryland,servant,,,,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,C.,Goldsborough,Subscriber,,
"December 31, 1825",Servants To Be Disposed Of,Hire,adult,adult,Dorchester,female,9,18251231,public sale,,Maryland,"cook, housework",,,,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,C.,Goldsborough,Subscriber,,
"December 31, 1825",Servants To Be Disposed Of,Hire,12,child,Dorchester,female,9,18251231,public sale,,Maryland,servant,,,,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,C.,Goldsborough,Subscriber,,
"December 31, 1825",Servants To Be Disposed Of,Hire,13,child,Dorchester,female,9,18251231,public sale,,Maryland,servant,,,,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,C.,Goldsborough,Subscriber,,
"December 31, 1825",Servants To Be Disposed Of,Hire,15,child,Dorchester,female,9,18251231,public sale,,Maryland,servant,,,,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,C.,Goldsborough,Subscriber,,
"December 31, 1825",Servants To Be Disposed Of,Hire,16,child,Dorchester,female,9,18251231,public sale,,Maryland,servant,,,,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,C.,Goldsborough,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,child,child,Dorchester,female,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,child,child,Dorchester,,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,38,adult,Dorchester,male,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,20,adult,Dorchester,male,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,23,adult,Dorchester,male,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,14,child,Dorchester,male,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,6,child,Dorchester,male,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,7,child,Dorchester,male,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,7,child,Dorchester,male,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,adult,adult,Dorchester,female,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,22,adult,Dorchester,,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,5,child,Dorchester,,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,adult,adult,Dorchester,female,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,3,toddler,Dorchester,,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,4,child,Dorchester,female,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,4,child,Dorchester,female,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,5,child,Dorchester,female,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"December 31, 1825",Valuable Negroes at Private Sale,Sale,16,child,Dorchester,female,19,18251231,private sale,,Maryland,,,,,family from the Eastern Shore,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,John,Donovan,Subscriber,,
"February 25, 1826",Valuable Negroes For Sale,Sale,19,child,Dorchester,female,5,18260225,public sale,,Maryland,,,,,,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,,John,Donovan,Subscriber,,
"February 25, 1826",Valuable Negroes For Sale,Sale,4 months,infant,Dorchester,male,5,18260225,public sale,,Maryland,,,,,,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,,John,Donovan,Subscriber,,
"February 25, 1826",Valuable Negroes For Sale,Sale,2,toddler,Dorchester,male,5,18260225,public sale,,Maryland,,,,,,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,,John,Donovan,Subscriber,,
"February 25, 1826",Valuable Negroes For Sale,Sale,7,child,Dorchester,male,5,18260225,public sale,,Maryland,,,,,,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,,John,Donovan,Subscriber,,
"February 25, 1826",Valuable Negroes For Sale,Sale,17,child,Dorchester,female,5,18260225,public sale,,Maryland,,,,,,not to be sold out of the county,Cambridge Chronicle & Eastern Shore Advertiser,3,,John,Donovan,Subscriber,,
"February 25, 1826",Sheriff's Sale,Sale,adult,adult,Dorchester,male,2,18260225,public sale,"Courthouse door, Cambridge",Maryland,,Charles,to serve for life,to satisfy court judgement,,,Cambridge Chronicle & Eastern Shore Advertiser,3,DO,Thos. H.,Hicks,Sheriff of Dorchester County,Benjamin Slacum,
